name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient prev,gradient next,capacity,capacity count
yrejpw,"59.739954, 17.812272","59.738555, 17.82096",1.0,r1_p44,r1_p45,24.7,13.8,25.5687255859375,0.00021172041028,0.0003789488565224,"300,6","4,2"
yrekr7,"57.762307, 14.150879","57.75814, 14.157796",1.2,r1_p17,r1_p18,5.2,1.6,96.35411071777344,-0.0248568469755425,-0.0808645349846207,150,4
yrk3pn,"59.846899, 17.713154","59.84317, 17.71096",0.6,r1_p45,r1_p46,0.5,0.7,10.63859462738037,-0.0007877083639308,-0.0005626488028799,"200,22","2,1"
yrqkq5,"57.725832, 12.988726","57.72400, 12.98843",0.7,r1_p6,r1_p7,0.6,2.6,189.6680908203125,0.0032906400939499,0.0007593771857383,"50,50,43","1,1,1"
yw5ej,"58.49077, 15.95077","58.48872, 15.94335",0.9,r1_p24,r1_p25,28.4,10.5,42.95452880859375,-0.0012002096236929,-0.0032462861902737,"50,50,43","1,1,1"
z83jd,"59.57637, 17.8981","59.57450, 17.899942",1.0,r1_p44,r1_p45,5.4,34.3,12.07003021240234,-0.0015313341686195,-0.0002410845877198,"50,50,43","1,1,1"
z8k68,"59.08751, 17.60241","59.08710, 17.59830",0.8,r1_p30,r1_p31,18.9,8.6,17.86101341247559,-0.0005253590214914,-0.0011545682855164,"50,50,43","1,1,1"
znj3rm,"59.274626, 15.191247","59.273954, 15.178668",0.9,r3_p42,r3_p43,4.8,5.1,29.39267730712891,-0.0047555268240696,-0.0044757880257153,"50,50,44","1,1,1"
znjnq3,"58.677738, 13.815225","58.675199, 13.817232",1.1,r3_p24,r3_p25,7.5,9.9,58.0,-0.0015430721048737,-0.0011689938211815,"300,50,50","4,2,2"
znq78r,"59.27255, 15.177193","59.273954, 15.178668",1.4,r3_p42,r3_p43,4.8,5.1,29.39267730712891,-0.0047555268240696,-0.0044757880257153,"150,60,50,50,22","8,1,1,1,1"
