name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient prev,gradient next,capacity,capacity count
m6kdek,"59.25334, 17.85437","59.251855, 17.855770",0.9,r1_p31,r1_p32,18.7,0.7,27.66272163391113,-0.0001577565000825,-0.0042143646741286,"50,50,22","1,1,2"
m6krn9,"59.885497, 17.667096","59.830110, 17.736933 ",8.9,r1_p44,r1_p45,36.1,2.5,12.78934001922607,-0.0002091382694432,-0.0030199611791673,350,6
m6kz5e,"58.41787, 15.65675","58.432385, 15.663608 ",2.6,r1_p24,r1_p25,10.7,29.9,37.96628952026367,-0.0036518010527545,-0.0013068292822595,"50,50,43","1,1,1"
m6xzww,"58.32397, 15.093717","58.32502, 15.089637",0.9,r1_p23,r1_p24,2.1,26.1,125.0952072143555,-0.0063644802520887,-0.0005120811832361,"50,50,22","1,1,2"
m7r6j,"58.427904, 15.591516","58.43864, 15.57402",2.0,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,"50,43,22","2,1,1"
mm6r6,"59.270658, 15.174779","59.273954, 15.178668",1.9,r3_p42,r3_p43,4.8,5.1,29.39267730712891,-0.0047555268240696,-0.0044757880257153,"50,50,43","1,1,1"
mz973d,"59.641385, 16.562155","59.624622, 16.543049",2.9,r3_p47,r3_p48,1.8,2.2,36.85476303100586,-0.0036462695068286,-0.0029833092293283,50,2
mzzeg2,"59.844586, 17.728082","59.830110, 17.736933 ",2.3,r1_p44,r1_p45,36.1,2.5,12.78934001922607,-0.0002091382694432,-0.0030199611791673,"150,6","4,1"
n37g7,"57.788882, 14.26531","57.78767, 14.25835",0.7,r1_p19,r1_p20,0.1,3.7,106.0587692260742,0.0034717629557138,9.383124287944396e-05,"50,50,43","1,1,1"
n8gez8,"58.435446, 15.590899","58.43864, 15.57402",1.8,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,250,12
n8pw2j,"58.001509, 14.450145","57.99282, 14.43830",1.7,r1_p20,r1_p21,23.7,4.7,178.9716796875,0.0026731559945356,0.0134799234700477,350,6
n8rjqn,"58.879801, 14.908318","58.878401356716424, 14.895584748716226 ",0.8,r2_p32,r2_p33,13.1,24.3,91.38068389892578,-0.000382370120914,-0.00020613368302,"50,50,22","1,1,2"
nerng,"57.71593, 12.91746","57.71553, 12.9091",0.7,r1_p4,r1_p5,0.3,1.1,161.3764801025391,-0.0494701470589614,-0.0134867647221517,"50,50,43","1,1,1"
newkx,"58.051985, 14.507464","58.04993, 14.50489",0.6,r1_p21,r1_p22,3.7,15.5,271.9061279296875,0.0078861620971142,0.0018824848095487,"50,50,43","1,1,1"
nz7rmn,"59.380378, 18.009779","59.377129, 18.01460",2.7,r1_p38,r1_p39,0.03,9.4,8.462725639343262,0.010848289917892,3.4621522788613235e-05,"300,6","4,2"
nzgwdz,"59.30119, 15.199138","59.29332, 15.198374",1.9,r3_p42,r3_p43,7.3,2.6,29.32423210144043,-0.0031362911586054,-0.0088058399291877,"120,50,22,22","1,1,1,4"
nzxyz7,"57.762417, 14.151303","57.75814, 14.157796",1.2,r1_p17,r1_p18,5.2,1.6,96.35411071777344,-0.0248568469755425,-0.0808645349846207,"50,50,22","1,1,1"
nzyp9g,"59.847472, 17.716489","59.84317, 17.71096",0.9,r1_p45,r1_p46,0.5,0.7,10.63859462738037,-0.0007877083639308,-0.0005626488028799,"200,22","2,1"
pg3me2,"57.923611, 12.530556","57.924052, 12.530510",0.008,r3_p6,r3_p7,0.1,0.1,69.84981536865234,-0.0015708929800676,-0.0015708929800676,"120,22","2,2"
pg3pjn,"57.733915, 12.93295","57.717247, 12.931939",2.5,r1_p5,r1_p6,0.4,3.3,138.3333587646484,0.0031457571414133,0.0003813032762852,"100,22","2,3"
pg6g99,"57.734023, 12.932432","57.717247, 12.931939",2.5,r1_p5,r1_p6,0.4,3.3,138.3333587646484,0.0031457571414133,0.0003813032762852,"50,22","1,5"
pgrzxj,"57.722952, 12.024123","57.724189, 12.019701",0.5,r3_p1,r3_p2,3.8,5.0,14.77121829986572,0.0018363302914212,0.0013956106901668,"50,5","1,1"
pj2qj6,"58.42493, 15.66539","58.43239, 15.66351",2.0,r1_p24,r1_p25,10.7,29.9,37.96247482299805,-0.0036521575688951,-0.0013069568642168,"150,50,50,22","2,2,2,1"
pjw6ez,"57.7821, 14.2296","57.7847, 14.23397",1.3,r1_p18,r1_p19,5.6,2.3,110.3734436035156,0.0027115814195566,0.0066021511546361,350,2
pr9dx,"59.426368, 15.827079","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5,17.0,17.99503135681152,-0.0004475458421701,-0.0009872336027833,150,14
q5rjez,"59.513362, 17.926285","59.51096, 17.92409",0.7,r1_p43,r1_p44,4.6,2.2,18.32753562927246,-0.0010420515038965,-0.0021788362923116,"150,22","8,4"
q5rzr7,"57.724279, 12.02945","57.724189, 12.019701",0.7,r3_p1,r3_p2,3.8,5.0,14.77121829986572,0.0018363302914212,0.0013956106901668,"50,50,43","1,1,1"
