name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,Rutt_1,Rutt_2,Rutt_3,intersection
p35,6591204.0,665791.0,59.426658696531206,17.922556008397763,43.81342315673828,70.0,p36,p34,0,1.9 ,-0.0024558342974422727,1.0,,,
p36,6593006.0,665712.0,59.44285081877633,17.922559774125943,39.14734268188477,80.0,p37,p35,7e9736,3.2 ,-0.005008261874937901,1.0,,,
p37,6596094.0,665077.0,59.47079513748178,17.91376129934247,23.1209716796875,100.0,p38,p36,"x5ywp2, pr9dx, jkyg7r",6.7 ,-0.0004151851147040917,1.0,,,
p38,6602694.0,665311.0,59.52989372730162,17.923002922028648,20.33923149108887,110.0,p39,p37,"yw5ej, ye2em",38.5 ,-0.0002417346185224527,1.0,,,
p39,6637025.0,651996.0,59.84287712471831,17.712683978663925,11.03244876861572,70.0,p40,p38,"yrekr7, nzxyz7, mz973d, jq3xpk, 25p56g",0.8 ,-0.0047032887291711565,1.0,,,
p40,6637203.0,651425.0,59.844683117860185,17.702636028084964,7.269831657409668,60.0,p41,p39,"rq3jej, 28zxep",5.3 ,0.005219494209128362,1.0,,,
p41,6635845.0,648079.0,59.83371343584347,17.642025567567885,34.93302536010742,40.0,p42,p40,0,2.9 ,0.0007125236851049802,1.0,,,
p42,6635017.0,647412.0,59.826524403833744,17.629553735049477,36.99934387207031,30.0,p43,p41,0,0.7 ,0.003013217581154107,1.0,,,
p43,6635080.0,646809.0,59.827303839137535,17.618854845188693,39.10859298706055,40.0,slutpunkt,,,0.8 ,-0.0014594417030920316,1.0,,,
p44,6399176.0,320949.0,57.69905976904028,11.995414437832036,7.793167114257812,70.0,p45,p0,"pgrzxj, kzeg7k, q5rzr7",3.9 ,0.0017303367837417385,,1.0,1.0,
p45,6401895.0,322602.0,57.72410490648944,12.021105671618184,14.54147720336914,80.0,p46,p44,"ejdze8, 2j6gp5",8.5 ,0.0007411807121769584,,1.0,1.0,
p46,6403750.0,330908.0,57.74394849025086,12.159075296834365,20.84151268005371,100.0,p47,p45,geyjg6,31.3 ,0.0024417165942192676,,1.0,1.0,
p47,6421868.0,352670.0,57.91420431485157,12.513099620904653,97.26716613769533,80.0,p48,p46,0,0.3 ,-0.0005310821782854953,,1.0,1.0,
p48,6422091.0,352842.0,57.91626222037903,12.515861605797904,97.10784149169922,60.0,p49,p47,0,1.1 ,-0.024639708468937396,,1.0,1.0,
